Nsample	fc	zr	MNAR	model	pAUROC
5	1.2	0.3	0	Wilcoxon-bPCA	0.521157187234889
5	1.5	0.3	0	ModT-bPCA	0.609834450555623
5	1.8	0.3	0	ModT-bPCA	0.716676507024005
5	2	0.3	0	ModT-bPCA	0.77214500052887
5	3	0.3	0	ModT-bPCA	0.913029658724601
5	5	0.3	0	ModT-bPCA	0.972227468383728
5	10	0.3	0	ModT	0.992420162685238
5	1.2	0.3	0.1	Wilcoxon-bPCA	0.520144173380929
5	1.5	0.3	0.1	ModT-bPCA	0.60595095447065
5	1.8	0.3	0.1	ModT-bPCA	0.709187973224494
5	2	0.3	0.1	ModT-bPCA	0.765869029521486
5	3	0.3	0.1	ModT-bPCA	0.909855064582612
5	5	0.3	0.1	ModT-bPCA	0.971675005232449
5	10	0.3	0.1	ModT	0.992291636092636
5	1.2	0.3	0.2	Wilcoxon-bPCA	0.519128628670504
5	1.5	0.3	0.2	ModT-bPCA	0.602158707319884
5	1.8	0.3	0.2	ModT-bPCA	0.702858574406361
5	2	0.3	0.2	ModT-bPCA	0.759094165310401
5	3	0.3	0.2	ModT-bPCA	0.905915788149444
5	5	0.3	0.2	ModT-bPCA	0.970398133902886
5	10	0.3	0.2	ModT	0.992378949489367
5	1.2	0.3	0.3	Wilcoxon-bPCA	0.517742728195164
5	1.5	0.3	0.3	ModT-bPCA	0.59806433263377
5	1.8	0.3	0.3	ModT-bPCA	0.696438754736335
5	2	0.3	0.3	ModT-bPCA	0.753108931360599
5	3	0.3	0.3	ModT-bPCA	0.901723223464158
5	5	0.3	0.3	ModT-bPCA	0.969213064300911
5	10	0.3	0.3	ModT	0.992246046455354
5	1.2	0.3	0.4	Wilcoxon-bPCA	0.516477458002398
5	1.5	0.3	0.4	ModT-bPCA	0.594175599297518
5	1.8	0.3	0.4	ModT-bPCA	0.68881206153737
5	2	0.3	0.4	ModT-bPCA	0.745024447758173
5	3	0.3	0.4	ModT-bPCA	0.89645446495274
5	5	0.3	0.4	ModT-bPCA	0.967086086458116
5	10	0.3	0.4	ModT	0.992068300658267
5	1.2	0.3	0.5	Wilcoxon-bPCA	0.515148523078386
5	1.5	0.3	0.5	ModT-bPCA	0.590657205539538
5	1.8	0.3	0.5	ModT-bPCA	0.681120321796697
5	2	0.3	0.5	ModT-bPCA	0.735598158918212
5	3	0.3	0.5	ModT-bPCA	0.890151630021338
5	5	0.3	0.5	ModT	0.965817616335222
